filename,width,height,class,xmin,ymin,xmax,ymax
2024-01-25-03-45-05_jpg.rf.6004792c3a63267d0a6912fa9006377b.jpg,1920,1080,cow,677,134,1127,811
2024-01-25-03-45-05_jpg.rf.6004792c3a63267d0a6912fa9006377b.jpg,1920,1080,cow,0,300,340,840
2024-02-09-05-55-03_jpg.rf.602b0dcd172ff3daa46eae0a5af29086.jpg,1920,1080,cow,385,110,763,852

2024-01-12-05-25-04_jpg.rf.5fdabf5230a30c074572b9da0cfb591f.jpg,1920,1080,cow,247,155,762,920
2024-01-12-05-25-04_jpg.rf.5fdabf5230a30c074572b9da0cfb591f.jpg,1920,1080,cow,693,227,1120,873
2024-01-12-05-25-04_jpg.rf.5fdabf5230a30c074572b9da0cfb591f.jpg,1920,1080,cow,1257,127,1600,900
2024-01-12-03-20-05_jpg.rf.5fdafe35a2705088e29af6d0eb4f7e85.jpg,1920,1080,cow,380,58,751,917
2024-01-12-03-20-05_jpg.rf.5fdafe35a2705088e29af6d0eb4f7e85.jpg,1920,1080,cow,770,67,1118,863
2024-01-12-03-20-05_jpg.rf.5fdafe35a2705088e29af6d0eb4f7e85.jpg,1920,1080,cow,1236,252,1657,1044
2024-02-07-05-10-03_jpg.rf.5fdbd4ecadc5311cabec5793093241cb.jpg,1920,1080,cow,725,238,1197,855
2024-02-07-05-10-03_jpg.rf.5fdbd4ecadc5311cabec5793093241cb.jpg,1920,1080,cow,0,320,227,947
2024-02-07-05-10-03_jpg.rf.5fdbd4ecadc5311cabec5793093241cb.jpg,1920,1080,cow,177,437,903,1070

2024-01-12-12-00-04_jpg.rf.603f3b00bb1cde520e9e2e6661f9ddb7.jpg,1920,1080,cow,342,152,855,861
2024-02-06-15-05-03_jpg.rf.601147d8aefed4dc9c110240c5829172.jpg,1920,1080,cow,337,101,810,905
2024-02-05-21-00-03_jpg.rf.5f618a03ca93cd28320832c260ce222b.jpg,1920,1080,cow,389,325,755,848
